,ENTITY1,RELATION,ENTITY2,ADDITIONAL,VECTOR,LABEL,NEW_RELATION
0,Bilbo, adopted,Frodo,,"[-0.04141598  0.0275081   0.03759231 -0.01809488 -0.02788519 -0.13101362
 -0.00445471  0.15371664 -0.08601332 -0.00988637 -0.0622503  -0.064477
  0.06024593 -0.06478862 -0.04069504 -0.03501145  0.01837094 -0.15576208
 -0.064771   -0.17684633  0.09377139  0.05198899  0.04234199 -0.07883464
  0.00780129  0.06169443  0.00293037 -0.0130262  -0.0572329   0.07852171
  0.1270984  -0.03371335  0.09458628 -0.05386128 -0.02700382  0.0478409
 -0.04119461 -0.0284037  -0.04376559 -0.06068413 -0.00113085 -0.05284374
 -0.01367736 -0.00446529  0.09146854 -0.03654871 -0.05877116 -0.01185798
  0.03064361  0.09018529 -0.07049956 -0.06906676 -0.00497024  0.02398887
 -0.03947579  0.06011864 -0.01494982  0.00533581 -0.07201606  0.01219268
  0.00654723 -0.04972049  0.00018505  0.01223232 -0.08310635  0.06815182
  0.03575336  0.07351132 -0.00610708  0.15259221  0.05063725  0.09353674
  0.10039227 -0.01018412  0.07427026  0.04971625  0.0761174  -0.05006984
 -0.0754471   0.02430262 -0.04855411 -0.038644   -0.1171603   0.05752677
 -0.05053885 -0.08912174 -0.0770006   0.05570231  0.03047147  0.01134443
  0.06465506  0.04169293 -0.00973787  0.00657895  0.08592738  0.10895112
  0.01980782 -0.07820357  0.0419336   0.05323973]",-1,thoughts
1,Otho, disliked,Bilbo,,"[-0.01601501  0.03036587  0.01588119 -0.00587228  0.00539329 -0.05647308
  0.00168082  0.05450257 -0.03004783 -0.016974   -0.01263128 -0.02750585
 -0.01465158 -0.0242247  -0.01283248 -0.0191789  -0.01355039 -0.04517122
 -0.02317053 -0.04344608  0.01164288  0.00260577  0.00977738 -0.03866675
 -0.02172237 -0.00471638 -0.01873379 -0.00659508 -0.0163796   0.02126187
  0.0420972  -0.02970387  0.02183348 -0.01851353  0.00449167  0.02015107
  0.01191598  0.00465795  0.01167309 -0.03442514  0.01608895 -0.0213455
 -0.00679125  0.00843725  0.03026626 -0.00642685 -0.01910519  0.01583312
  0.00371294  0.04094952 -0.00309862 -0.01694263  0.02466119  0.00963243
 -0.01981957  0.00938046  0.00136109 -0.00815635 -0.02808718 -0.00656587
  0.0025336   0.02570838  0.02815302 -0.0069805  -0.02953951  0.01944287
  0.02420425  0.02552574 -0.02693215  0.04014103  0.01419584  0.02963968
  0.04112889  0.00389263  0.03232033  0.009331    0.01365692  0.00447831
  0.00184342  0.00388477 -0.01940273  0.00254549 -0.02272671  0.0154005
 -0.00593298 -0.03335742 -0.02282599  0.02093356  0.02836351  0.00613096
  0.02854035  0.04314559  0.00686486  0.01230913  0.04536746  0.02201498
 -0.01246105 -0.03288685  0.01829467  0.01725226]",-1,thoughts
2,Old Odo Proudfoot, removed,Bilbo,feet,"[-0.16581842  0.19962521  0.2403444   0.0179274  -0.00813514 -0.52113354
  0.0162475   0.627654   -0.22841029 -0.29117072  0.0209198  -0.23986544
  0.01956486 -0.08558179 -0.01595289  0.04608722  0.04144831 -0.2334019
 -0.29874557 -0.465094    0.07745608 -0.05031586  0.09218109 -0.17469452
 -0.01165315  0.03219553 -0.11106367 -0.04783772 -0.10159064  0.00220917
  0.23673865 -0.07390262  0.23302242 -0.16757052  0.05357938  0.04394977
  0.05516507 -0.05653341  0.01371792 -0.28226548 -0.01624903 -0.0713665
  0.07229281 -0.11539958  0.1425153   0.06178772 -0.21581651  0.22895741
 -0.09726956  0.2345534  -0.0482113  -0.1093502  -0.0247731   0.01335543
 -0.12166972  0.12815776  0.08710125 -0.14439887 -0.14756349  0.09286243
 -0.05013072  0.08546568  0.11553958  0.05140722 -0.18635553  0.13189338
  0.18121077  0.2690722  -0.11186391  0.2784049   0.09895904  0.0529253
  0.3043978   0.12247764  0.1456323  -0.08314791  0.21709387 -0.22869936
 -0.15819107 -0.02105849  0.01754387  0.02928017 -0.15500352  0.06688394
 -0.08331711 -0.01904847 -0.05779202  0.12120654  0.20940551  0.07088709
  0.19697846  0.1506075  -0.04653953  0.09839212  0.38366854  0.16610138
  0.03844251 -0.24520169 -0.01180553  0.01812004]",0,removed
3,Old Odo Proudfoot, removed,Bilbo,,"[-0.16581842  0.19962521  0.2403444   0.0179274  -0.00813514 -0.52113354
  0.0162475   0.627654   -0.22841029 -0.29117072  0.0209198  -0.23986544
  0.01956486 -0.08558179 -0.01595289  0.04608722  0.04144831 -0.2334019
 -0.29874557 -0.465094    0.07745608 -0.05031586  0.09218109 -0.17469452
 -0.01165315  0.03219553 -0.11106367 -0.04783772 -0.10159064  0.00220917
  0.23673865 -0.07390262  0.23302242 -0.16757052  0.05357938  0.04394977
  0.05516507 -0.05653341  0.01371792 -0.28226548 -0.01624903 -0.0713665
  0.07229281 -0.11539958  0.1425153   0.06178772 -0.21581651  0.22895741
 -0.09726956  0.2345534  -0.0482113  -0.1093502  -0.0247731   0.01335543
 -0.12166972  0.12815776  0.08710125 -0.14439887 -0.14756349  0.09286243
 -0.05013072  0.08546568  0.11553958  0.05140722 -0.18635553  0.13189338
  0.18121077  0.2690722  -0.11186391  0.2784049   0.09895904  0.0529253
  0.3043978   0.12247764  0.1456323  -0.08314791  0.21709387 -0.22869936
 -0.15819107 -0.02105849  0.01754387  0.02928017 -0.15500352  0.06688394
 -0.08331711 -0.01904847 -0.05779202  0.12120654  0.20940551  0.07088709
  0.19697846  0.1506075  -0.04653953  0.09839212  0.38366854  0.16610138
  0.03844251 -0.24520169 -0.01180553  0.01812004]",0,removed
4,Frodo, escorted,Lobelia,,"[-2.89961393e-03  1.62265357e-02  6.00428926e-03  1.11846104e-02
  5.86923771e-03 -4.06178273e-02  5.42679057e-03  6.00740463e-02
 -8.52229819e-03 -1.12646446e-02 -5.25970245e-05 -1.77998506e-02
 -6.71370933e-03 -1.04883183e-02 -4.92350105e-03 -1.27077540e-02
  7.05675862e-04 -4.93361615e-02 -1.03518525e-02 -4.27679382e-02
  1.71713196e-02 -1.22044142e-03  1.35500664e-02 -3.16731669e-02
 -1.35219458e-03  1.23838475e-03 -1.66707020e-02 -7.95294472e-04
 -6.14540698e-03  2.05379855e-02  4.04577628e-02 -1.25875948e-02
 -2.34807469e-03 -1.88989728e-03  3.61885922e-03  2.38805450e-02
 -1.97333586e-03 -1.27803143e-02 -5.96855627e-03 -3.91022786e-02
 -1.65980367e-03 -1.40897240e-02  2.59646680e-03  1.33417640e-03
  2.49044262e-02  6.87336549e-03 -2.46216655e-02  8.80424585e-03
 -3.66748980e-04  2.33864319e-02  3.34392069e-04 -2.17031594e-02
  5.09403227e-03  7.78217940e-03 -3.97610776e-02  2.71198042e-02
  8.86367355e-03 -8.86564795e-03 -2.45470628e-02 -3.64031154e-03
  1.04023553e-02  1.55451521e-02  9.41296201e-03 -9.98721551e-03
 -2.44287234e-02  2.78319381e-02  1.26041630e-02  3.38431261e-02
 -1.88099835e-02  2.08647083e-02  2.01345626e-02  9.41297505e-03
  3.79991494e-02 -4.65777284e-03  1.65453255e-02  4.32505831e-03
  2.84695942e-02 -2.16675103e-02 -2.08641663e-02  3.61941755e-03
 -5.37916645e-03 -5.71163557e-03 -2.11053938e-02  1.29578514e-02
 -1.44301085e-02 -1.72199812e-02 -2.43012551e-02  1.98259335e-02
  8.23805854e-03  1.14978217e-02  2.06640400e-02  1.81336645e-02
 -1.16168223e-02  1.29833147e-02  4.02674563e-02  2.57366821e-02
  2.74836551e-03 -2.98123360e-02 -6.60212617e-03  1.14385756e-02]",-1,thoughts
5,Frodo, saw,Gandalf,,"[-0.810779    0.08501016  0.8626317  -0.16027759 -0.31852597 -1.2199368
  0.29597703  1.9437878  -0.16198055 -0.34252277 -0.73848456 -1.3223505
  0.7507389  -0.06121532 -0.7499626   0.45125464  0.6342938  -0.41804162
 -0.24966848 -0.6111164   0.70437324 -0.6542002   0.81305796 -0.7597185
 -0.08693278  1.0901179   0.24645911 -0.6758754  -0.53813934  0.21820031
  0.2246224  -0.25413078  1.6681406  -0.7627089   0.02518778 -0.6165169
  0.1093113  -0.94213396 -0.5115748   0.3468136   0.72811913 -0.5156364
 -0.07506383 -0.06547866  0.25425833  0.2578015  -0.5897861  -0.6893881
  0.41847807  0.55770105 -0.26213017 -0.609772    0.54144627 -0.64412624
  0.15025775  0.95224196 -0.00512258 -0.1308825  -0.500641    0.81747234
 -0.5810957  -1.177373   -0.06128611  1.5402176  -0.5364356  -0.06405438
 -0.27695337  0.20641543  0.72553176  1.6596661   0.8494501   0.0555675
  1.5796396   0.5829181   0.48890364 -0.3759821   1.6436     -1.6232685
 -0.31938908  0.3492224  -1.2188219  -0.7237667   0.05729816  0.5331118
 -1.0112656  -0.25219664  0.67472196  0.19038136 -0.14261071  0.3609411
  1.629149   -0.00338391 -0.10046937  0.10925575 -0.27050844  0.52449507
  1.2790122   0.39275345 -0.13243546  0.4095489 ]",1,saw
6,Gandalf, paid,Frodo,,"[ 1.35812443e-02  2.36135751e-01 -4.58626822e-02 -1.11944318e-01
  3.43551091e-03 -1.54039323e-01 -7.65147880e-02  2.19395235e-01
 -2.00216994e-02 -7.59918988e-02 -3.70027125e-02 -4.30875681e-02
 -6.12308830e-02 -6.61288127e-02  8.05774704e-03 -1.10936210e-01
 -2.89012268e-02 -2.21666425e-01 -6.02676235e-02 -2.46006131e-01
  1.64734259e-01 -5.60355447e-02 -3.20306011e-02 -3.44261527e-02
 -1.38178125e-01  4.02594358e-02 -4.68995720e-02 -1.04661927e-01
  2.60767657e-02  2.80603748e-02  2.57801175e-01 -1.86631963e-01
  4.96500544e-02 -1.12071879e-01 -9.19061713e-03  1.55689970e-01
  6.61824495e-02  7.64459446e-02 -7.75787905e-02 -1.10982746e-01
  1.43831391e-02 -1.79343179e-01 -4.84727249e-02  3.45277451e-02
  1.27483502e-01 -5.17587028e-02 -6.12299256e-02 -1.58431754e-02
  7.68011287e-02  2.19735876e-01 -1.43456496e-02 -5.79037480e-02
  1.23103663e-01  7.63283968e-02 -1.12615749e-02  2.52988568e-04
  3.96725535e-02 -4.34224354e-03 -4.93317768e-02 -9.12608728e-02
  2.96172109e-02 -3.55972759e-02  1.53281212e-01 -2.53852992e-03
 -6.21992312e-02  6.39604032e-02  1.60995319e-01  1.00360550e-01
 -1.18532322e-01  1.31248131e-01  2.62906961e-02  1.42855391e-01
  1.37520760e-01  1.29945995e-02  2.19946966e-01  1.18442528e-01
 -9.64785218e-02  8.19929913e-02 -6.03944436e-02  3.42625380e-02
 -7.21769035e-02 -7.22092167e-02 -1.26381636e-01  6.63112327e-02
 -3.74419615e-02 -1.52445167e-01 -8.27363729e-02  9.78420153e-02
  8.17809105e-02  1.38532937e-01  7.91754127e-02  1.23697728e-01
  8.09914172e-02  8.89627542e-03  7.85046443e-02 -5.35614137e-03
 -5.89788482e-02 -7.00646490e-02  1.05860643e-01  1.21312328e-01]",-1,thoughts
7,Frodo, welcomed,Sam,,"[-0.06234623  0.11143825  0.0488099  -0.03349121  0.01204324 -0.17454502
 -0.01781669  0.2554802  -0.08504022 -0.10410094 -0.04990392 -0.15139313
 -0.03092536 -0.0463145  -0.05144593 -0.03017306  0.03148786 -0.17612919
 -0.09945149 -0.19615814  0.05386655 -0.03201531  0.03537931 -0.09478538
 -0.08671436  0.05738114 -0.03015944 -0.08708159 -0.09257082  0.02486996
  0.16340517 -0.1070485   0.08071459 -0.07336964 -0.00356308  0.02906071
  0.02780157  0.06484855  0.01517444 -0.09619064  0.04930512 -0.09921981
 -0.04125128  0.02660888  0.07549674  0.02356827 -0.08828827  0.08093936
  0.02653999  0.11747276 -0.03781449 -0.12842737  0.10016508  0.06569241
 -0.06928395  0.07770359  0.04181612 -0.05270024 -0.0547797  -0.01047671
  0.0059087  -0.01889052  0.07534669  0.03546166 -0.08978764  0.05401569
  0.06362562  0.13244264 -0.01861322  0.1796873   0.10110018  0.0858492
  0.19682771  0.03002686  0.0974446   0.03816264  0.07740632 -0.07086609
 -0.04909201 -0.02177084 -0.06497949 -0.08559527 -0.09697486  0.01497408
 -0.0284927  -0.08694327 -0.063901    0.07325749  0.10175731  0.06026945
  0.10250245  0.10879304  0.01962039  0.05266499  0.10439501  0.09611373
  0.03187997 -0.07917607  0.06253904  0.03247982]",2,welcomed
8,Sam, pressed,Gandalf,,"[-0.07339541  0.13966212  0.11575856  0.03355657  0.0827954  -0.33943427
  0.00893558  0.45817125 -0.04450623 -0.13386282  0.03100177 -0.17127731
  0.03063953 -0.07789335 -0.07378471 -0.10147563  0.02721296 -0.16760854
  0.00103032 -0.21584916  0.1285982  -0.03358839  0.10866446 -0.17353374
  0.02807021  0.09235451 -0.01730129 -0.09070691 -0.10754272  0.10556713
  0.1085706  -0.15662032  0.19153717 -0.13263404 -0.00154852  0.10241701
  0.02396509 -0.11056861 -0.06421303 -0.15324952  0.04590167 -0.0647768
 -0.0213205  -0.01499205  0.1362701   0.08577387 -0.2585488   0.06478304
  0.03594953  0.13698153 -0.03086686 -0.17008518  0.05990285  0.07493494
 -0.04824253  0.08210736  0.12626706 -0.10092384 -0.10760178  0.10027422
 -0.09690601 -0.07671295 -0.0165251  -0.01147136 -0.20692252  0.19250119
  0.10673761  0.20072722 -0.11720262  0.20821248  0.12896334  0.13127393
  0.31710783  0.10498776  0.10212484 -0.02883938  0.21965332 -0.1343411
 -0.19551237  0.00710726 -0.16818553  0.01178707 -0.11867335  0.11254203
 -0.13235849 -0.10500109 -0.05105942  0.11687621  0.10716951  0.01431203
  0.25221947  0.07434449 -0.10320409  0.10317156  0.21767138  0.27693078
  0.09372244 -0.07386369 -0.01877707  0.10417692]",3,pressed
9,Orcs, saw,Isildur,,"[-0.810779    0.08501016  0.8626317  -0.16027759 -0.31852597 -1.2199368
  0.29597703  1.9437878  -0.16198055 -0.34252277 -0.73848456 -1.3223505
  0.7507389  -0.06121532 -0.7499626   0.45125464  0.6342938  -0.41804162
 -0.24966848 -0.6111164   0.70437324 -0.6542002   0.81305796 -0.7597185
 -0.08693278  1.0901179   0.24645911 -0.6758754  -0.53813934  0.21820031
  0.2246224  -0.25413078  1.6681406  -0.7627089   0.02518778 -0.6165169
  0.1093113  -0.94213396 -0.5115748   0.3468136   0.72811913 -0.5156364
 -0.07506383 -0.06547866  0.25425833  0.2578015  -0.5897861  -0.6893881
  0.41847807  0.55770105 -0.26213017 -0.609772    0.54144627 -0.64412624
  0.15025775  0.95224196 -0.00512258 -0.1308825  -0.500641    0.81747234
 -0.5810957  -1.177373   -0.06128611  1.5402176  -0.5364356  -0.06405438
 -0.27695337  0.20641543  0.72553176  1.6596661   0.8494501   0.0555675
  1.5796396   0.5829181   0.48890364 -0.3759821   1.6436     -1.6232685
 -0.31938908  0.3492224  -1.2188219  -0.7237667   0.05729816  0.5331118
 -1.0112656  -0.25219664  0.67472196  0.19038136 -0.14261071  0.3609411
  1.629149   -0.00338391 -0.10046937  0.10925575 -0.27050844  0.52449507
  1.2790122   0.39275345 -0.13243546  0.4095489 ]",1,saw
