,entity,type
0,Bilbo,PERSON
1,Baggins,PERSON
2,Hobbiton,LOCATION
3,Shire,LOCATION
4,Sackville,LOCATION
5,Frodo,PERSON
6,Bagginses,LOCATION
7,Bagginses,PERSON
8,Bywater,LOCATION
9,Ham,PERSON
10,Gamgee,PERSON
11,Bush,PERSON
12,Holman,PERSON
13,Sam,PERSON
14,Hill,LOCATION
15,Noakes,PERSON
16,Buckland,LOCATION
17,Brandywine,LOCATION
18,River,LOCATION
19,Buckland,PERSON
20,Old,LOCATION
21,Forest,LOCATION
22,Drogo,PERSON
23,Primula,PERSON
24,Brandybuck,PERSON
25,Brandy,LOCATION
26,Hall,LOCATION
27,Gorbadoc,PERSON
28,Sandyman,PERSON
29,Gaffer,PERSON
30,Michel,PERSON
31,Delving,PERSON
32,Westfarthing,LOCATION
33,Bridge,LOCATION
34,Gandalf,PERSON
35,Hill,PERSON
36,Dale,LOCATION
37,Bilbo,LOCATION
38,Brandybucks,PERSON
39,Burrowses,LOCATION
40,Bracegirdles,LOCATION
41,Brockhouses,LOCATION
42,Hornblowers,PERSON
43,Sackville,PERSON
44,Otho,PERSON
45,Lobelia,PERSON
46,Grubbs,PERSON
47,Chubbs,LOCATION
48,Bolgers,PERSON
49,Proudfoot,PERSON
50,Uncle,PERSON
51,Melilot,PERSON
52,Springle,LOCATION
53,Jolly,PERSON
54,Esgaroth,LOCATION
55,Long,LOCATION
56,Lake,LOCATION
57,Odo,PERSON
58,Boffin,PERSON
59,Brandybuck,LOCATION
60,Grubb,PERSON
61,Burrows,PERSON
62,Bolger,PERSON
63,Bracegirdle,LOCATION
64,Brockhouse,PERSON
65,Hornblower,PERSON
66,Rory,PERSON
67,Gollum,LOCATION
68,Grey,PERSON
69,Tooks,PERSON
70,ADELARD,PERSON
71,Adelard,PERSON
72,Dora,PERSON
73,MILO,PERSON
74,BURROWS,PERSON
75,B.B.,PERSON
76,Milo,PERSON
77,LOBELIA,PERSON
78,SACKVILLE,PERSON
79,BAGGINS,PERSON
80,Bagshot,PERSON
81,Row,PERSON
82,Southfarthing,LOCATION
83,Merry,PERSON
84,Sancho,PERSON
85,Shire,PERSON
86,Mad,PERSON
87,Folco,PERSON
88,Fredegar,PERSON
89,Peregrin,PERSON
90,Took,PERSON
91,Meriadoc,PERSON
92,Pippin,PERSON
93,East,LOCATION
94,West,LOCATION
95,Road,LOCATION
96,Blue,LOCATION
97,Mountains,LOCATION
98,Mirkwood,LOCATION
99,Frodo,LOCATION
100,Ted,PERSON
101,North,LOCATION
102,Moors,LOCATION
103,Hal,PERSON
104,Halfast,LOCATION
105,White,LOCATION
106,Towers,LOCATION
107,South,LOCATION
108,Eregion,LOCATION
109,Saruman,PERSON
110,Sauron,PERSON
111,Westernesse,LOCATION
112,Gil,PERSON
113,Elendil,PERSON
114,Isildur,PERSON
115,Great,LOCATION
116,Anduin,LOCATION
117,Council,PERSON
118,the,PERSON
119,Wise,PERSON
120,Wilderland,LOCATION
121,Sméagol,PERSON
122,Déagol,PERSON
123,Déagol,LOCATION
124,Misty,LOCATION
125,Isildur,LOCATION
126,Elendil,LOCATION
127,Moon,PERSON
128,Mirkwood,PERSON
129,Woodmen,PERSON
130,Saruman,LOCATION
131,Aragorn,LOCATION
132,Ancalagon,PERSON
133,Black,PERSON
134,Orodruin,LOCATION
135,Underhill,PERSON
136,Lor,PERSON
137,Rivendell,LOCATION
138,Elrond,PERSON
139,Halfelven,PERSON
140,Crickhollow,LOCATION
141,Bucklebury,LOCATION
142,Lotho,PERSON
143,Bagshot,LOCATION
144,Tookland,LOCATION
145,Woodhall,PERSON
146,Stock,PERSON
147,Green,LOCATION
148,Hills,LOCATION
149,Woody,PERSON
150,End,PERSON
151,Tower,LOCATION
152,Elbereth,LOCATION
153,Sea,LOCATION
154,Gildor,PERSON
155,Elf,PERSON
156,Inglorion,PERSON
157,Woodhall,LOCATION
158,Menelvagor,PERSON
159,Elbereth,PERSON
160,Bucklebury,PERSON
161,Golden,LOCATION
162,Perch,LOCATION
163,Bamfurlong,PERSON
164,Farmer,LOCATION
165,Maggot,LOCATION
166,Fang,PERSON
167,Wolf,PERSON
168,Pippin,LOCATION
169,Maggot,PERSON
170,Farmer,PERSON
171,Grip,PERSON
172,Gorhendad,PERSON
173,Oldbuck,PERSON
174,Rushey,LOCATION
175,Buck,PERSON
176,Budgeford,LOCATION
177,Bridgefields,LOCATION
178,Fredegar,LOCATION
179,Haysend,LOCATION
180,Withywindle,LOCATION
181,Tom,PERSON
182,Bom,PERSON
183,Bombadillo,PERSON
184,Bombadil,PERSON
185,Goldberry,PERSON
186,Withywindle,PERSON
187,Barrows,LOCATION
188,Sun,PERSON
189,Gildor,LOCATION
190,Carn,PERSON
191,Dûm,PERSON
192,Lumpkin,PERSON
193,Fatty,PERSON
194,Angmar,PERSON
195,west,LOCATION
196,east,LOCATION
197,Bree,PERSON
198,hill,PERSON
199,Bree,LOCATION
200,Combe,PERSON
201,Archet,PERSON
202,Chetwood,LOCATION
203,Staddle,LOCATION
204,the,LOCATION
205,World,LOCATION
206,Eastfarthing,LOCATION
207,Greenway,LOCATION
208,Harry,PERSON
209,Butterbur,PERSON
210,Bob,PERSON
211,Nob,PERSON
212,Rushlight,PERSON
213,Goatleaf,LOCATION
214,Appledore,LOCATION
215,Longholes,LOCATION
216,Sandheaver,PERSON
217,Tunnelly,LOCATION
218,Will,PERSON
219,Whitfoot,PERSON
220,Underhills,PERSON
221,Strider,PERSON
222,Master,PERSON
223,Mugwort,PERSON
224,STRIDER,PERSON
225,Bill,PERSON
226,Ferny,PERSON
227,FRODO,PERSON
228,Strider,LOCATION
229,Barliman,PERSON
230,Dear,PERSON
231,Gandalf,LOCATION
232,Weathertop,PERSON
233,Nob,LOCATION
234,Eriador,LOCATION
235,Crickhollow,PERSON
236,Ranger,PERSON
237,Combe,LOCATION
238,Sammie,PERSON
239,Weathertop,LOCATION
240,Angmar,LOCATION
241,Kingdom,LOCATION
242,Amon,PERSON
243,Sûl,PERSON
244,Mordor,LOCATION
245,Forsaken,LOCATION
246,Inn,LOCATION
247,Bruinen,LOCATION
248,Loudwater,PERSON
249,galad,PERSON
250,Elrond,LOCATION
251,Tinúviel,LOCATION
252,Tinúviel,PERSON
253,Beren,PERSON
254,moon,LOCATION
255,Barahir,LOCATION
256,Lúthien,PERSON
257,Angband,LOCATION
258,Barahir,PERSON
259,Thingol,LOCATION
260,Neldoreth,LOCATION
261,Esgalduin,PERSON
262,Lúthien,LOCATION
263,Eärendil,PERSON
264,Eärendil,LOCATION
265,Númenor,LOCATION
266,Westernesse,PERSON
267,Dawn,PERSON
268,River,PERSON
269,Hoarwell,PERSON
270,Mitheithel,PERSON
271,Loudwater,LOCATION
272,Greyflood,PERSON
273,Bruinen,PERSON
274,Tim,PERSON
275,Afore,PERSON
276,Hee,PERSON
277,Doner,PERSON
278,Glorfindel,PERSON
279,Baranduin,LOCATION
280,Mitheithel,LOCATION
281,Glorfindel,LOCATION
282,Grey,LOCATION
283,Arathorn,LOCATION
284,Men,LOCATION
285,Eldar,PERSON
286,Arwen,PERSON
287,Undómiel,PERSON
288,Lórien,LOCATION
289,Elladan,PERSON
290,Elrohir,PERSON
291,Glóin,PERSON
292,Thorin,PERSON
293,Oakenshield,PERSON
294,Lonely,LOCATION
295,Mountain,LOCATION
296,Beorn,LOCATION
297,Carrock,LOCATION
298,Beorn,PERSON
299,Dale,PERSON
300,Bard,PERSON
301,Bowman,PERSON
302,Brand,PERSON
303,son,PERSON
304,Bain,PERSON
305,Dáin,PERSON
306,Dwalin,PERSON
307,Dori,PERSON
308,Bifur,LOCATION
309,Bofur,LOCATION
310,Bombur,LOCATION
311,Bombur,PERSON
312,Balin,PERSON
313,Ori,PERSON
314,Dúnadan,PERSON
315,Arvernien,LOCATION
316,Nimbrethil,LOCATION
317,Tarmenel,LOCATION
318,Valinor,LOCATION
319,Eldamar,PERSON
320,Ilmarin,LOCATION
321,Silmaril,LOCATION
322,Evereven,LOCATION
323,Wall,LOCATION
324,Norland,LOCATION
325,Hither,LOCATION
326,Shores,LOCATION
327,Lindir,PERSON
328,Gilthoniel,PERSON
329,Fanuilos,PERSON
330,Lady,PERSON
331,Glóin,LOCATION
332,Gimli,PERSON
333,Erestor,PERSON
334,Galdor,PERSON
335,Círdan,LOCATION
336,Legolas,PERSON
337,Thranduil,PERSON
338,Northern,LOCATION
339,Boromir,PERSON
340,Khazad,LOCATION
341,Moria,PERSON
342,Moria,LOCATION
343,Celebrimbor,PERSON
344,Anárion,LOCATION
345,Arnor,LOCATION
346,Gondor,LOCATION
347,Beleriand,LOCATION
348,Thangorodrim,PERSON
349,Gondolin,LOCATION
350,Elwing,PERSON
351,Dagorlad,LOCATION
352,Aeglos,PERSON
353,Narsil,PERSON
354,Boromir,LOCATION
355,Círdan,PERSON
356,Valandil,LOCATION
357,Anárion,PERSON
358,Annúminas,LOCATION
359,Evendim,LOCATION
360,Fornost,LOCATION
361,Downs,LOCATION
362,Deadmen,PERSON
363,Dike,PERSON
364,Osgiliath,LOCATION
365,Eressëa,LOCATION
366,Gorgoroth,PERSON
367,Minas,PERSON
368,Anor,PERSON
369,Osgiliath,PERSON
370,Argonath,LOCATION
371,Gondor,PERSON
372,Morgul,LOCATION
373,Ithilien,LOCATION
374,Rohan,PERSON
375,Denethor,LOCATION
376,Imladris,PERSON
377,Ithil,PERSON
378,Rhûn,LOCATION
379,Harad,PERSON
380,Dúnedain,LOCATION
381,Galdor,LOCATION
382,Dol,LOCATION
383,Guldur,LOCATION
384,Minas,LOCATION
385,Denethor,PERSON
386,Meneldil,PERSON
387,Black,LOCATION
388,Gate,LOCATION
389,Vale,LOCATION
390,Gladden,LOCATION
391,Fields,LOCATION
392,Imladris,LOCATION
393,Dol,PERSON
394,Guldur,PERSON
395,Radagast,PERSON
396,Brown,PERSON
397,Rhosgobel,LOCATION
398,Radagast,LOCATION
399,White,PERSON
400,Orthanc,LOCATION
401,Isengard,LOCATION
402,Ered,PERSON
403,Nimrais,PERSON
404,Isengard,PERSON
405,Gwaihir,PERSON
406,Windlord,PERSON
407,Edoras,LOCATION
408,Rohirrim,PERSON
409,Shadowfax,PERSON
410,Hoarwell,LOCATION
411,Dunland,LOCATION
412,Iarwain,PERSON
413,Ben,PERSON
414,Orald,PERSON
415,Iarwain,LOCATION
416,Argonath,PERSON
417,Dwarf,PERSON
418,Thrór,PERSON
419,Thráin,PERSON
420,Thráin,LOCATION
421,Hador,LOCATION
422,Húrin,PERSON
423,Túrin,LOCATION
424,Gwaihir,LOCATION
425,Tharbad,LOCATION
426,Silverlode,PERSON
427,Arathorn,PERSON
428,Sting,PERSON
429,Mount,LOCATION
430,Doom,LOCATION
431,Hollin,LOCATION
432,Eregion,PERSON
433,Baraz,LOCATION
434,Zirak,PERSON
435,Dwarrowdelf,PERSON
436,Barazinbar,PERSON
437,Silvertine,PERSON
438,Celebdil,PERSON
439,Fanuidhol,LOCATION
440,Zirakzigil,PERSON
441,Caradhras,LOCATION
442,Silverlode,LOCATION
443,Kheled,LOCATION
444,Kibil,LOCATION
445,Wind,LOCATION
446,Greyflood,LOCATION
447,Fangorn,LOCATION
448,Caradhras,PERSON
449,Redhorn,LOCATION
450,Rohan,LOCATION
451,Isen,PERSON
452,Langstrand,LOCATION
453,Lebennin,PERSON
454,Barad,PERSON
455,Fundin,LOCATION
456,Bandobras,LOCATION
457,Sirannon,PERSON
458,Sirannon,LOCATION
459,Holly,PERSON
460,Narvi,PERSON
461,Annon,PERSON
462,Middle,LOCATION
463,Gimli,LOCATION
464,Berúthiel,PERSON
465,Legolas,LOCATION
466,Mirrormere,LOCATION
467,Nargothrond,LOCATION
468,Gondolin,PERSON
469,Buckler,PERSON
470,Durin,LOCATION
471,Mathom,PERSON
472,BALIN,PERSON
473,Flói,PERSON
474,Frár,PERSON
475,Lóni,PERSON
476,Náli,PERSON
477,Westgate,LOCATION
478,Fundin,PERSON
479,Mazarbul,LOCATION
480,Glamdring,PERSON
481,Balin,LOCATION
482,Lord,LOCATION
483,Andúril,PERSON
484,Second,LOCATION
485,First,LOCATION
486,Balrog,LOCATION
487,Udûn,LOCATION
488,Dimrill,PERSON
489,Kheledzâram,PERSON
490,Lothlórien,LOCATION
491,Wood,LOCATION
492,Lórien,PERSON
493,Nimrodel,LOCATION
494,Nimrodel,PERSON
495,Amroth,PERSON
496,Lothlórien,PERSON
497,Amroth,LOCATION
498,Anduin,PERSON
499,Bay,LOCATION
500,Belfalas,LOCATION
501,Galadhrim,LOCATION
502,Rúmil,PERSON
503,Orophin,PERSON
504,Haldir,PERSON
505,Haldir,LOCATION
506,Andy,PERSON
507,Gore,PERSON
508,Egladil,LOCATION
509,Cerin,PERSON
510,green,LOCATION
511,city,LOCATION
512,Southern,LOCATION
513,Caras,PERSON
514,Galadhon,PERSON
515,Celeborn,PERSON
516,Galadriel,PERSON
517,Caras,LOCATION
518,Galadhon,LOCATION
519,Morgoth,LOCATION
520,Mithrandir,PERSON
521,Evenstar,PERSON
522,Nenya,LOCATION
523,Celeborn,LOCATION
524,Sarn,PERSON
525,Gebir,PERSON
526,Rauros,LOCATION
527,Nen,LOCATION
528,Hithoel,LOCATION
529,Galadhrim,PERSON
530,Fences,LOCATION
531,Eldamar,LOCATION
532,Wetwang,LOCATION
533,Cirith,PERSON
534,Gorgor,PERSON
535,Northerland,LOCATION
536,Celebrían,PERSON
537,Elessar,PERSON
538,bank,LOCATION
539,Tintallë,PERSON
540,Varda,PERSON
541,Oiolossëo,PERSON
542,Nai,PERSON
543,Kindler,PERSON
544,Everwhite,LOCATION
545,Calacirya,LOCATION
546,Valimar,PERSON
547,Rauros,PERSON
548,Tindrock,LOCATION
549,Isle,LOCATION
550,north,LOCATION
551,plains,LOCATION
552,Riddermark,LOCATION
553,Limlight,PERSON
554,Sarn,LOCATION
555,Gebir,LOCATION
556,New,LOCATION
557,Moon,LOCATION
558,Stair,LOCATION
559,Hen,PERSON
560,Emyn,LOCATION
561,Muil,LOCATION
562,Nen,PERSON
563,Hithoel,PERSON
564,Lhaw,PERSON
565,Wilderland,PERSON
566,Parth,PERSON
567,Galen,PERSON
568,Rowan,PERSON
569,Tol,PERSON
570,Brandir,PERSON
571,Ethir,PERSON
572,Meriadoc,LOCATION
573,Peregrin,LOCATION
574,Parth,LOCATION
575,Galen,LOCATION
576,Tol,LOCATION
577,Brandir,LOCATION
