,ENTITY1,RELATION,ENTITY2
0,Bilbo, adopted,Frodo
1,Baggins, Took,grandfather
2,Otho, disliked,Bilbo
3,Bilbo, beaming,face
4,Frodo, gave,orders
5,Baggins, slipped,pocket
6,Baggins, slipped,Baggins
7,Baggins, put,ring
8,Baggins, removed,ring
9,Bilbo, chose,Bilbo
10,Merry, left,friend
11,Frodo, escorted,Lobelia
12,Bilbo, found,story
13,Bilbo, used,story
14,Frodo, saw,Gandalf
15,Gandalf, cloaked,figure
16,Bilbo, found,Bilbo
17,Hal, sees,things
18,Sam, believed,Sam
19,Gandalf, paid,Frodo
20,Frodo, welcomed,Sam
21,Sam, pressed,Gandalf
22,Bilbo, gave,ring
23,Frodo, took,peril
24,Gandalf, unfastened,peril
25,Gandalf, held,peril
26,Gandalf, held,wizard
27,Frodo, received,fire
28,Frodo, shrinking,palm
29,Orcs, saw,Isildur
30,Sméagol, caught,Déagol
31,Sméagol, concealed,discovery
32,Sméagol, used,discovery
33,Gollum, hated,light
34,Gollum, hated,Ring
35,Gollum, hated,Ring
36,Ring, left,Bilbo
37,Ring, abandoned,Gollum
38,Déagol, haunted,Gollum
39,Sméagol, gnawed,bones
40,Sméagol, thought,Sméagol
41,Gollum, hated,Bilbo
42,Bilbo, found,Bilbo
43,Bilbo, track,Bilbo
44,Woodmen, climbed,trees
45,Gollum, deserves,death
46,Gandalf, took,gold
47,Gandalf, kept,Gandalf
48,Frodo, gave,Frodo
49,Merry, took,charge
50,Gandalf, wanted,Frodo
51,Frodo, took,Frodo
52,Sam, heard,voices
53,Sam, returned,Sam
54,Frodo, threw,Frodo
55,Gaffer, said,stranger
56,bole, showed,grey
57,Frodo, watched,Frodo
58,Frodo, thought,Frodo
59,Elf, passed,Elf
60,East, swung,Remmirath
61,Pippin, shining,belt
62,Frodo, questioned,Gildor
63,Bilbo, said,farewell
64,Elves, have,Elves
65,Frodo, felt,sleep
66,Elf, led,Speech
67,Pippin, threw,Pippin
68,Sam, thought,Sam
69,Frodo, reckoned,hobbits
70,Frodo, propped,Frodo
71,Pippin, found,Pippin
72,Baggins, spurred,Baggins
73,Frodo, handed,basket
74,Merry, found,Merry
75,Merry, led,travellers
76,Lawks, had,supper
77,Frodo, found,Frodo
78,Merry, pushed,gate
79,Hedge, brought,hobbits
80,Pippin, noticed,Merry
81,Merry, led,stories
82,Pippin, heard,Merry
83,Sam, lifted,Sam
84,Pippin, dragged,Merry
85,Merry, gave,Merry
86,Sam, pulled,Sam
87,Sam, gripped,Frodo
88,Goldberry, wished,candles
89,Frodo, went to,sleep
90,Tom, made,paths
91,Goldberry, wished,songs
92,Tom, owed,Tom
93,Tom, had,dealings
94,Gildor, own,hopes
95,Tom, wagged,Tom
96,Ring, handed,chain
97,Tom, put,chain
98,Tom, shining,eyes
99,Tom, told,feet
100,Tom, advised,feet
101,Tom, taught,feet
102,Frodo, came,Pippin
103,Frodo, thought,Frodo
104,Frodo, found,Frodo
105,Frodo, found,Frodo
106,Bilbo, thought,Bilbo
107,Bilbo, found,Bilbo
108,Frodo, thought,Frodo
109,Bumpkin, told,hobbits
110,Tom, returned,Tom
111,Tom, called,others
112,Tom, bade,hobbits
113,Wight, drew,hobbits
114,Wight, told,sheaths
115,Tom, spoke,hobbits
116,folk, called,Road
117,Nob, brought,candles
118,Merry, said,Frodo
119,Underhills, took,Frodo
120,Frodo, said,Frodo
121,Butterbur, invited,Frodo
122,Sam, made,designs
123,Frodo, shut,door
124,Frodo, gave,innkeeper
125,Frodo, broke,seal
126,Frodo, gave,Merry
127,Strider, settled,Nob
128,Nob, rolled,Nob
129,Tom, sent,ponies
130,Bob, treated,ponies
131,Strider, guided,woods
132,Ferny, knows,Ferny
133,Rangers, shifting,quagmires
134,Sam, called,midges
135,Bilbo, wrote,poetry
136,Strider, picked,stone
137,Gandalf, made,Rangers
138,Strider, flung,Frodo
139,Merry, threw,Frodo
140,Strider, led,horsemen
141,Ring, draws,Riders
